Hybridization REF,TCGA-2F-A9KO,TCGA-2F-A9KP,TCGA-2F-A9KQ,TCGA-2F-A9KR,TCGA-2F-A9KT,TCGA-2F-A9KW,TCGA-4Z-AA7M,TCGA-4Z-AA7N,TCGA-4Z-AA7O,TCGA-4Z-AA7Q,TCGA-4Z-AA7R,TCGA-4Z-AA7S,TCGA-4Z-AA7W,TCGA-4Z-AA7Y,TCGA-4Z-AA80,TCGA-4Z-AA81,TCGA-4Z-AA82,TCGA-4Z-AA83,TCGA-4Z-AA84,TCGA-4Z-AA86
SLC44A2|57153,2568.5131,8461.5065,6145.1089,2435.5758,4983.6066,13660.0691,5218.9542,5872.9157,13204.9875,6162.2517,4757.8994,6382.2193,5920.367,7781.0922,4307.0218,6038.5675,3724.4597,4213.8614,5330.3816,3866.0864
SLC44A3|126969,1197.6676,908.0316,2302.7353,1545.6813,235.7264,324.1177,1132.8976,1013.9703,1768.9111,746.3576,534.9355,1275.8032,251.0241,1225.3327,1429.0557,873.8292,266.6994,1139.934,400.0521,549.0459
SLC44A4|80736,1175.5102,46.6084,4685.6745,2069.9308,16.9587,175.9347,244.5534,2444.3443,2535.6608,664.9007,3004.4504,2450.0181,17.6962,3156.4938,280.3874,952.6171,6.3851,1718.8119,81.7815,43.5219
SLC44A5|204962,344.6064,299.6255,180.3431,922.1853,218.2024,212.5877,524.5098,49.5719,519.3682,684.106,322.6524,468.5877,143.536,860.0275,83.293,205.5096,16.2083,490.429,0.5209,17.7436
SLC45A1|50651,11.0787,8.7391,12.5174,23.2683,12.4364,40.3184,10.3486,23.434,9.9751,31.1258,21.8069,9.6097,9.8312,5.0482,1.937,2.7548,8.3497,7.2607,122.9327,14.0609
SLC45A2|51151,2.9155,1.2484,6.4905,2.3743,1.6959,0,0,0.9013,0,2.649,1.7802,0,0,0.9179,12.1065,0,2.947,1.3201,0,0
SLC45A3|85414,71.137,593.4249,856.3978,601.6523,546.6365,192.1667,208.6057,552.5011,166.916,229.1391,364.931,654.9154,34.0816,1044.9748,185.9564,630.303,353.6346,848.2706,340.1485,147.305
SLC45A4|57210,198.8338,325.0104,252.2021,663.3846,427.9254,269.1381,666.6667,1861.1987,481.463,603.9735,307.0761,65.4375,199.9017,145.0207,306.0533,1490.9091,227.8978,899.67,552.1552,469.3673
SLC46A1|113235,324.7872,2110.6284,561.8081,481.5308,502.459,720.8765,722.7669,449.8873,175.6342,478.6821,457.2319,240.9383,172.4922,421.6843,718.7167,397.0909,295.6876,1099.9604,494.8144,533.8165
SLC46A2|57864,8.1633,39.5339,46.3607,2.3743,16.9587,7.8542,14.7059,31.5457,133.0008,27.1523,5.7855,4.1184,5.8987,210.1882,10.1695,265.0138,2.947,6.6007,8.3344,3.0131
